# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |                __of_device_is_compatible() {
 0)   1.257 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.917 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.390 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.048 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.453 us    |                  __of_find_property();
 0)   1.173 us    |                  of_prop_next_string();
 0)   7.155 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.152 us    |                  __of_find_property();
 0)   1.180 us    |                  of_prop_next_string();
 0)   6.703 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.245 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.936 us    |                }
 0)   1.169 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.447 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.073 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.484 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.161 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.535 us    |                  __of_find_property();
 0)   1.203 us    |                  of_prop_next_string();
 0)   6.162 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.249 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.080 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.723 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.410 us    |                }
 0)   1.189 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.922 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.012 us    |                  __of_find_property();
 0)   1.179 us    |                  of_prop_next_string();
 0)   6.597 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.950 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.910 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.610 us    |                }
 0)   1.175 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.923 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.677 us    |                  __of_find_property();
 0)   1.201 us    |                  of_prop_next_string();
 0)   6.283 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.927 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.672 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.372 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.958 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.690 us    |                  __of_find_property();
 0)   1.171 us    |                  of_prop_next_string();
 0)   7.403 us    |                }
 0)   1.182 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.256 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.793 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.322 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   7.039 us    |                }
 0)   1.168 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.249 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.908 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.807 us    |                  __of_find_property();
 0)   1.170 us    |                  of_prop_next_string();
 0)   6.553 us    |                }
 0)   1.175 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.243 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.785 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.300 us    |                  __of_find_property();
 0)   1.152 us    |                  of_prop_next_string();
 0)   7.160 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.252 us    |                  __of_find_property();
 0)   1.152 us    |                  of_prop_next_string();
 0)   5.832 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.862 us    |                  __of_find_property();
 0)   1.152 us    |                  of_prop_next_string();
 0)   6.864 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.243 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.775 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.592 us    |                  __of_find_property();
 0)   1.152 us    |                  of_prop_next_string();
 0)   6.260 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.633 us    |                  __of_find_property();
 0)   1.160 us    |                  of_prop_next_string();
 0)   6.261 us    |                }
 0)   1.210 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.250 us    |                  __of_find_property();
 0)   1.152 us    |                  of_prop_next_string();
 0)   5.920 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.671 us    |                  __of_find_property();
 0)   1.199 us    |                  of_prop_next_string();
 0)   6.264 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.948 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.511 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.150 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.328 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   7.049 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.246 us    |                  __of_find_property();
 0)   1.162 us    |                  of_prop_next_string();
 0)   6.898 us    |                }
 0)   1.208 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.837 us    |                  __of_find_property();
 0)   1.202 us    |                  of_prop_next_string();
 0)   6.430 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.245 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.932 us    |                }
 0)   1.168 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.403 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.117 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.634 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   6.348 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.249 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.829 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.129 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.809 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.249 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.913 us    |                }
 0)   1.198 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.732 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.410 us    |                }
 0)   1.300 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.273 us    |                  __of_find_property();
 0)   1.176 us    |                  of_prop_next_string();
 0)   5.857 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.155 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.856 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.257 us    |                  __of_find_property();
 0)   1.172 us    |                  of_prop_next_string();
 0)   5.876 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.491 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.175 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.039 us    |                  __of_find_property();
 0)   1.176 us    |                  of_prop_next_string();
 0)   6.613 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.940 us    |                }
 0)   1.203 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.270 us    |                  __of_find_property();
 0)   1.276 us    |                  of_prop_next_string();
 0)   1.277 us    |                  of_prop_next_string();
 0)   8.650 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.643 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.381 us    |                  of_prop_next_string();
 0)   8.855 us    |                }
 0)   1.219 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.445 us    |                  __of_find_property();
 0)   1.286 us    |                  of_prop_next_string();
 0)   1.234 us    |                  of_prop_next_string();
 0)   8.720 us    |                }
 0)   1.217 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.297 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.242 us    |                  of_prop_next_string();
 0)   8.505 us    |                }
 0)   1.180 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.386 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.260 us    |                  of_prop_next_string();
 0)   8.604 us    |                }
 0)   1.198 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.364 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.392 us    |                  of_prop_next_string();
 0)   8.698 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.507 us    |                  __of_find_property();
 0)   1.198 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.702 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.361 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.247 us    |                  of_prop_next_string();
 0)   8.565 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.443 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.252 us    |                  of_prop_next_string();
 0)   8.540 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.551 us    |                  __of_find_property();
 0)   1.193 us    |                  of_prop_next_string();
 0)   1.315 us    |                  of_prop_next_string();
 0)   8.754 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.469 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.263 us    |                  of_prop_next_string();
 0)   8.642 us    |                }
 0)   1.301 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.291 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.251 us    |                  of_prop_next_string();
 0)   1.325 us    |                  of_prop_next_string();
 0) + 10.849 us   |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.282 us    |                  __of_find_property();
 0)   1.200 us    |                  of_prop_next_string();
 0)   1.292 us    |                  of_prop_next_string();
 0)   1.175 us    |                  of_prop_next_string();
 0) + 10.943 us   |                }
 0)   1.202 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.364 us    |                  __of_find_property();
 0)   1.156 us    |                  of_prop_next_string();
 0)   1.269 us    |                  of_prop_next_string();
 0)   8.430 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.697 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.333 us    |                }
 0)   1.253 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.353 us    |                  __of_find_property();
 0)   2.383 us    |                  of_prop_next_string();
 0)   1.268 us    |                  of_prop_next_string();
 0)   9.772 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.477 us    |                  __of_find_property();
 0)   1.158 us    |                  of_prop_next_string();
 0)   1.307 us    |                  of_prop_next_string();
 0)   8.659 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.372 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.370 us    |                }
 0)   1.300 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.361 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.252 us    |                  of_prop_next_string();
 0)   8.823 us    |                }
 0)   1.213 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.511 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   1.245 us    |                  of_prop_next_string();
 0)   8.624 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.868 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.291 us    |                  of_prop_next_string();
 0)   9.137 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.475 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   1.213 us    |                  of_prop_next_string();
 0)   1.180 us    |                  of_prop_next_string();
 0) + 13.587 us   |                }
 0)               |                __of_device_is_compatible() {
 0)   1.372 us    |                  __of_find_property();
 0)   1.147 us    |                  of_prop_next_string();
 0)   1.286 us    |                  of_prop_next_string();
 0)   8.474 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.377 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.260 us    |                  of_prop_next_string();
 0)   8.600 us    |                }
 0)   1.207 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.350 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.377 us    |                  of_prop_next_string();
 0)   8.595 us    |                }
 0)   1.205 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.364 us    |                  __of_find_property();
 0)   1.294 us    |                  of_prop_next_string();
 0)   1.251 us    |                  of_prop_next_string();
 0)   8.702 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.592 us    |                  __of_find_property();
 0)   1.173 us    |                  of_prop_next_string();
 0)   6.153 us    |                }
 0)   1.202 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.409 us    |                  __of_find_property();
 0)   1.156 us    |                  of_prop_next_string();
 0)   6.013 us    |                }
 0)   1.325 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.832 us    |                  __of_find_property();
 0)   1.153 us    |                  of_prop_next_string();
 0)   1.252 us    |                  of_prop_next_string();
 0)   9.023 us    |                }
 0)   1.230 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.955 us    |                  __of_find_property();
 0)   2.380 us    |                  of_prop_next_string();
 0)   1.298 us    |                  of_prop_next_string();
 0) + 10.438 us   |                }
 0)   1.198 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.577 us    |                  __of_find_property();
 0)   1.169 us    |                  of_prop_next_string();
 0)   1.321 us    |                  of_prop_next_string();
 0)   8.600 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.029 us    |                  __of_find_property();
 0)   1.159 us    |                  of_prop_next_string();
 0)   1.242 us    |                  of_prop_next_string();
 0)   9.035 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.400 us    |                  __of_find_property();
 0)   1.266 us    |                  of_prop_next_string();
 0)   1.267 us    |                  of_prop_next_string();
 0)   8.905 us    |                }
 0)   1.215 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.787 us    |                  __of_find_property();
 0)   1.168 us    |                  of_prop_next_string();
 0)   1.261 us    |                  of_prop_next_string();
 0)   8.923 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.358 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.248 us    |                  of_prop_next_string();
 0)   8.636 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.378 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.287 us    |                  of_prop_next_string();
 0)   8.765 us    |                }
 0)   1.213 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.363 us    |                  __of_find_property();
 0)   1.293 us    |                  of_prop_next_string();
 0)   1.263 us    |                  of_prop_next_string();
 0)   8.570 us    |                }
 0)   1.298 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.657 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   1.247 us    |                  of_prop_next_string();
 0)   8.975 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.350 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.397 us    |                  of_prop_next_string();
 0)   8.645 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.473 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.410 us    |                  of_prop_next_string();
 0)   8.842 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.572 us    |                  __of_find_property();
 0)   1.598 us    |                  of_prop_next_string();
 0)   1.245 us    |                  of_prop_next_string();
 0)   9.153 us    |                }
 0)   1.195 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.386 us    |                  __of_find_property();
 0)   1.153 us    |                  of_prop_next_string();
 0)   1.245 us    |                  of_prop_next_string();
 0)   8.580 us    |                }
 0)   1.185 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.245 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.245 us    |                  of_prop_next_string();
 0)   8.446 us    |                }
 0)   1.189 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.382 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   1.491 us    |                  of_prop_next_string();
 0)   8.729 us    |                }
 0)   1.192 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.312 us    |                  __of_find_property();
 0)   1.190 us    |                  of_prop_next_string();
 0)   1.350 us    |                  of_prop_next_string();
 0)   8.662 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.918 us    |                  __of_find_property();
 0)   1.288 us    |                  of_prop_next_string();
 0)   1.245 us    |                  of_prop_next_string();
 0)   9.270 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.447 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.260 us    |                  of_prop_next_string();
 0)   8.790 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.525 us    |                  __of_find_property();
 0)   1.192 us    |                  of_prop_next_string();
 0)   1.292 us    |                  of_prop_next_string();
 0)   8.569 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.350 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.350 us    |                  of_prop_next_string();
 0)   8.635 us    |                }
 0)   1.340 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.472 us    |                  __of_find_property();
 0)   1.153 us    |                  of_prop_next_string();
 0)   1.247 us    |                  of_prop_next_string();
 0)   8.566 us    |                }
 0)   1.183 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.647 us    |                  __of_find_property();
 0)   1.183 us    |                  of_prop_next_string();
 0)   1.275 us    |                  of_prop_next_string();
 0)   8.709 us    |                }
 0)               |                __of_device_is_compatible() {
 0)   1.355 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.251 us    |                  of_prop_next_string();
 0)   8.590 us    |                }
 0)   1.212 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.895 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.260 us    |                  of_prop_next_string();
 0)   1.213 us    |                  of_prop_next_string();
 0)   1.195 us    |                  of_prop_next_string();
 0) + 13.843 us   |                }
 0)               |                __of_device_is_compatible() {
 0)   1.996 us    |                  __of_find_property();
 0)   1.320 us    |                  of_prop_next_string();
 0)   1.268 us    |                  of_prop_next_string();
 0)   9.142 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.377 us    |                  __of_find_property();
 0)   1.154 us    |                  of_prop_next_string();
 0)   1.263 us    |                  of_prop_next_string();
 0)   8.580 us    |                }
 0)   1.184 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.238 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   1.255 us    |                  of_prop_next_string();
 0)   8.325 us    |                }
 0)   1.228 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.375 us    |                  __of_find_property();
 0)   1.257 us    |                  of_prop_next_string();
 0)   2.255 us    |                  of_prop_next_string();
 0)   9.495 us    |                }
 0)   1.237 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.388 us    |                  __of_find_property();
 0)   1.159 us    |                  of_prop_next_string();
 0)   1.272 us    |                  of_prop_next_string();
 0)   8.388 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.409 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.282 us    |                  of_prop_next_string();
 0)   8.530 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.450 us    |                  __of_find_property();
 0)   1.157 us    |                  of_prop_next_string();
 0)   1.392 us    |                  of_prop_next_string();
 0)   8.635 us    |                }
 0)   1.265 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.473 us    |                  __of_find_property();
 0)   1.272 us    |                  of_prop_next_string();
 0)   1.251 us    |                  of_prop_next_string();
 0)   8.722 us    |                }
 0)   1.186 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.528 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.282 us    |                  of_prop_next_string();
 0)   8.951 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.365 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   1.262 us    |                  of_prop_next_string();
 0)   8.790 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.387 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.395 us    |                  of_prop_next_string();
 0)   8.627 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.392 us    |                  __of_find_property();
 0)   1.199 us    |                  of_prop_next_string();
 0)   1.260 us    |                  of_prop_next_string();
 0)   8.691 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.363 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.401 us    |                  of_prop_next_string();
 0)   8.626 us    |                }
 0)   1.510 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.345 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   1.265 us    |                  of_prop_next_string();
 0)   1.325 us    |                  of_prop_next_string();
 0)   1.180 us    |                  of_prop_next_string();
 0) + 13.364 us   |                }
 0)               |                __of_device_is_compatible() {
 0)   1.445 us    |                  __of_find_property();
